
2024/03/06 (23:34:08) | ===> btop++ v.1.3.2
2024/03/06 (23:34:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/06 (23:34:08) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/07 (01:30:15) | ===> btop++ v.1.3.2
2024/03/07 (01:30:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/07 (01:30:15) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/07 (01:30:23) | ===> btop++ v.1.3.2
2024/03/07 (01:30:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/07 (01:30:23) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/07 (21:19:33) | ===> btop++ v.1.3.2
2024/03/07 (21:19:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/07 (21:19:33) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/08 (20:15:26) | ===> btop++ v.1.3.2
2024/03/08 (20:15:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/08 (20:15:26) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/08 (21:48:46) | ===> btop++ v.1.3.2
2024/03/08 (21:48:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/08 (21:48:46) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/09 (23:05:13) | ===> btop++ v.1.3.2
2024/03/09 (23:05:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/09 (23:05:13) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/10 (17:28:42) | ===> btop++ v.1.3.2
2024/03/10 (17:28:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/10 (17:28:42) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/10 (18:46:01) | ===> btop++ v.1.3.2
2024/03/10 (18:46:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/10 (18:46:01) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/10 (18:47:17) | ===> btop++ v.1.3.2
2024/03/10 (18:47:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/10 (18:47:17) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/11 (15:01:47) | ===> btop++ v.1.3.2
2024/03/11 (15:01:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/11 (15:01:47) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/11 (17:33:41) | ===> btop++ v.1.3.2
2024/03/11 (17:33:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/11 (17:33:41) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/11 (19:55:38) | ===> btop++ v.1.3.2
2024/03/11 (19:55:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/11 (19:55:38) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/11 (21:05:06) | ===> btop++ v.1.3.2
2024/03/11 (21:05:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/11 (21:05:06) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/12 (10:13:18) | ===> btop++ v.1.3.2
2024/03/12 (10:13:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/12 (10:13:18) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/12 (10:13:26) | ===> btop++ v.1.3.2
2024/03/12 (10:13:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/12 (10:13:26) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/12 (13:40:28) | ===> btop++ v.1.3.2
2024/03/12 (13:40:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/12 (13:40:28) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/13 (22:43:53) | ===> btop++ v.1.3.2
2024/03/13 (22:43:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/13 (22:43:53) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/18 (20:18:02) | ===> btop++ v.1.3.2
2024/03/18 (20:18:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/18 (20:18:02) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/19 (12:34:19) | ===> btop++ v.1.3.2
2024/03/19 (12:34:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/19 (12:34:19) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/19 (18:30:13) | ===> btop++ v.1.3.2
2024/03/19 (18:30:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/19 (18:30:13) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/19 (19:09:20) | ===> btop++ v.1.3.2
2024/03/19 (19:09:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/19 (19:09:20) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/19 (19:26:48) | ===> btop++ v.1.3.2
2024/03/19 (19:26:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/19 (19:26:48) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/03/19 (19:33:19) | ERROR: Exception during Config::unlock() : unordered_map::at

2024/03/19 (19:33:27) | ===> btop++ v.1.3.2
2024/03/19 (19:33:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/19 (19:33:27) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/19 (19:44:59) | ===> btop++ v.1.3.2
2024/03/19 (19:44:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/19 (19:44:59) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/20 (21:55:04) | ===> btop++ v.1.3.2
2024/03/20 (21:55:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/20 (21:55:04) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/21 (15:16:21) | ===> btop++ v.1.3.2
2024/03/21 (15:16:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/21 (15:16:21) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/23 (14:46:32) | ===> btop++ v.1.3.2
2024/03/23 (14:46:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/23 (14:46:32) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/25 (20:00:46) | ===> btop++ v.1.3.2
2024/03/25 (20:00:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/25 (20:00:46) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/27 (01:09:37) | ===> btop++ v.1.3.2
2024/03/27 (01:09:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/27 (01:09:37) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/28 (22:48:40) | ===> btop++ v.1.3.2
2024/03/28 (22:48:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/28 (22:48:40) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/11 (15:36:43) | ===> btop++ v.1.3.2
2024/04/11 (15:36:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/11 (15:36:43) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/12 (16:18:59) | ===> btop++ v.1.3.2
2024/04/12 (16:18:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/12 (16:18:59) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/12 (16:53:59) | ===> btop++ v.1.3.2
2024/04/12 (16:53:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/12 (16:53:59) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/12 (19:36:39) | ===> btop++ v.1.3.2
2024/04/12 (19:36:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/12 (19:36:39) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/13 (12:23:35) | ===> btop++ v.1.3.2
2024/04/13 (12:23:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/13 (12:23:35) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/13 (12:37:06) | ===> btop++ v.1.3.2
2024/04/13 (12:37:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/13 (12:37:06) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/14 (00:42:40) | ===> btop++ v.1.3.2
2024/04/14 (00:42:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/14 (00:42:40) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/18 (17:12:58) | ===> btop++ v.1.3.2
2024/04/18 (17:12:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/18 (17:12:58) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/18 (17:15:27) | ===> btop++ v.1.3.2
2024/04/18 (17:15:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/18 (17:15:27) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/18 (17:15:52) | ===> btop++ v.1.3.2
2024/04/18 (17:15:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/18 (17:15:52) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/18 (19:07:34) | ===> btop++ v.1.3.2
2024/04/18 (19:07:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/18 (19:07:34) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (11:03:44) | ===> btop++ v.1.3.2
2024/04/21 (11:03:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:03:44) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (11:03:47) | ===> btop++ v.1.3.2
2024/04/21 (11:03:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:03:47) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (11:03:52) | ===> btop++ v.1.3.2
2024/04/21 (11:03:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:03:52) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (11:03:56) | ===> btop++ v.1.3.2
2024/04/21 (11:03:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:03:56) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (11:03:59) | ===> btop++ v.1.3.2
2024/04/21 (11:03:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:03:59) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/04/21 (11:13:08) | ERROR: Exception during Config::unlock() : unordered_map::at

2024/04/21 (11:13:13) | ===> btop++ v.1.3.2
2024/04/21 (11:13:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:13:13) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/04/21 (11:14:36) | ERROR: Exception during Config::unlock() : unordered_map::at

2024/04/21 (11:14:38) | ===> btop++ v.1.3.2
2024/04/21 (11:14:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:14:38) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (11:16:33) | ===> btop++ v.1.3.2
2024/04/21 (11:16:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:16:33) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (11:19:11) | ===> btop++ v.1.3.2
2024/04/21 (11:19:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:19:11) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (11:19:25) | ===> btop++ v.1.3.2
2024/04/21 (11:19:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:19:25) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (11:19:58) | ===> btop++ v.1.3.2
2024/04/21 (11:19:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:19:58) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (11:20:02) | ===> btop++ v.1.3.2
2024/04/21 (11:20:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:20:02) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (11:21:10) | ===> btop++ v.1.3.2
2024/04/21 (11:21:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:21:10) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (11:21:37) | ===> btop++ v.1.3.2
2024/04/21 (11:21:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:21:37) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (11:22:16) | ===> btop++ v.1.3.2
2024/04/21 (11:22:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:22:16) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (11:22:32) | ===> btop++ v.1.3.2
2024/04/21 (11:22:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:22:32) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (11:22:38) | ===> btop++ v.1.3.2
2024/04/21 (11:22:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:22:38) | WARNING: NVML: Failed to get GPU power usage: Not Supported

